prec,ID,Assault,BreakingnEntering,Robbery,Theft,yymm,Objectid_month
1.0290322,9,179,58,7,175,201501,9-1
0.17741935,20,33,14,0,58,201501,20-1
1.1548387,5,13,7,0,49,201501,5-1
0.69032258,17,38,111,27,259,201501,17-1
0.63387096,16,257,81,24,415,201501,16-1
0.75483871,13,34,10,7,44,201501,13-1
0.63870966,14,104,38,17,222,201501,14-1
0.38870969,7,8,3,2,35,201501,7-1
0.096774191,3,257,203,69,685,201501,3-1
0.70806456,4,31,28,11,90,201501,4-1
0.056451615,2,22,6,1,42,201501,2-1
0.33870968,1,52,27,6,78,201501,1-1
1.0919355,18,4,2,1,7,201501,18-1
1.1612903,6,9,1,3,28,201501,6-1
0.53225803,10,9,4,0,14,201501,10-1
0.57741934,11,65,15,41,172,201501,11-1
0.56290323,22,47,22,0,55,201501,22-1
1.0112903,23,33,15,6,119,201501,23-1
0.42741936,24,4,6,0,13,201501,24-1
1.1016129,19,8,4,0,14,201501,19-1
0.76935488,8,0,0,0,0,201501,8-1
0.72142857,9,186,59,3,136,201502,9-2
0.28392857,20,31,11,1,53,201502,20-2
0.61607146,5,7,12,1,39,201502,5-2
0.59642857,17,48,59,6,216,201502,17-2
0.41964287,16,244,64,24,345,201502,16-2
0.24464287,13,39,8,1,49,201502,13-2
0.44285715,14,104,32,9,198,201502,14-2
0.18392858,7,14,4,1,34,201502,7-2
0.039285716,3,271,144,34,615,201502,3-2
0.34999999,4,35,20,10,72,201502,4-2
0.075000003,2,22,4,5,38,201502,2-2
0.19642857,1,58,20,3,60,201502,1-2
0.61428571,18,5,2,0,3,201502,18-2
0.52321428,6,14,0,1,19,201502,6-2
0.39107144,10,4,4,0,13,201502,10-2
0.38392857,11,46,8,21,135,201502,11-2
0.35714287,22,51,20,5,33,201502,22-2
0.52857143,23,31,12,5,84,201502,23-2
0.2375,24,6,0,0,15,201502,24-2
0.57499999,19,13,1,0,5,201502,19-2
0.61129034,9,238,39,10,133,201503,9-3
0.15483871,20,47,13,2,57,201503,20-3
0.66612905,5,22,4,1,60,201503,5-3
0.66451615,17,60,73,17,290,201503,17-3
0.36612904,16,291,83,26,396,201503,16-3
0.28548387,13,37,16,5,44,201503,13-3
0.59032261,14,119,46,11,281,201503,14-3
0.27419356,7,15,1,1,35,201503,7-3
0.041935485,3,286,175,49,800,201503,3-3
0.42419356,4,61,16,10,138,201503,4-3
0.046774194,2,20,9,0,46,201503,2-3
0.29193547,1,65,18,1,85,201503,1-3
0.60483873,18,4,7,0,14,201503,18-3
0.56129032,6,11,0,0,13,201503,6-3
0.16612904,10,8,3,0,10,201503,10-3
0.48548386,11,68,22,24,182,201503,11-3
0.60322583,22,57,21,6,37,201503,22-3
0.22903226,23,46,31,9,125,201503,23-3
0.085483871,24,6,2,0,20,201503,24-3
0.44193548,19,10,1,0,2,201503,19-3
0.31290323,8,0,0,0,0,201503,8-3
0.56333333,9,201,52,3,182,201504,9-4
0.28833333,20,49,22,1,44,201504,20-4
0.38666666,5,24,13,0,49,201504,5-4
0.75333333,17,56,68,12,329,201504,17-4
0.43833333,16,276,75,27,451,201504,16-4
0.25166667,13,55,25,1,81,201504,13-4
0.42833334,14,112,42,10,291,201504,14-4
0.094999999,7,15,11,0,50,201504,7-4
0.06666667,3,335,202,42,820,201504,3-4
0.38999999,4,41,28,6,139,201504,4-4
0.115,2,23,8,1,43,201504,2-4
0.69166666,1,110,32,4,119,201504,1-4
0.086666673,21,0,0,0,0,201504,21-4
0.51499999,18,4,4,0,12,201504,18-4
0.31833333,6,15,2,0,29,201504,6-4
0.14833334,10,8,2,0,18,201504,10-4
0.50833333,11,77,24,27,179,201504,11-4
0.62333333,22,45,25,1,73,201504,22-4
0.15166667,23,48,33,7,147,201504,23-4
0.19166666,24,10,2,1,17,201504,24-4
0.34333333,19,12,7,0,13,201504,19-4
0.21833333,8,0,0,0,0,201504,8-4
0.19032258,9,259,58,6,179,201505,9-5
0.28548387,20,44,15,2,50,201505,20-5
0.38709679,5,22,7,1,92,201505,5-5
0.13548388,17,67,82,15,305,201505,17-5
0.23709677,16,335,86,25,499,201505,16-5
0.14193548,13,75,21,6,47,201505,13-5
0.2,14,120,37,13,277,201505,14-5
0.30000001,7,22,9,4,61,201505,7-5
0.022580646,3,334,243,49,789,201505,3-5
0.18064517,4,49,25,8,157,201505,4-5
0.0983871,2,41,38,16,79,201505,2-5
0.43387097,1,92,38,6,105,201505,1-5
0.16129032,18,8,4,0,16,201505,18-5
0.096774198,6,9,0,0,16,201505,6-5
0.093548387,10,4,0,0,4,201505,10-5
0.52580643,11,102,20,27,214,201505,11-5
0.37258065,22,57,28,8,81,201505,22-5
0.13870968,23,54,32,7,151,201505,23-5
0.20483871,24,13,2,0,15,201505,24-5
0.18709677,19,13,3,1,14,201505,19-5
0.70833331,9,262,82,4,186,201506,9-6
0.57999998,20,44,14,4,64,201506,20-6
1.0266666,5,18,6,1,51,201506,5-6
0.82499999,17,71,84,25,351,201506,17-6
1.33,16,299,99,37,569,201506,16-6
0.61333334,13,60,18,9,41,201506,13-6
0.94,14,90,36,10,218,201506,14-6
1.1666666,7,18,6,1,49,201506,7-6
0.10666667,3,344,234,45,758,201506,3-6
0.86666667,4,44,32,9,140,201506,4-6
0.27166668,2,42,28,10,119,201506,2-6
1.2866666,1,47,17,3,84,201506,1-6
0.26833335,21,0,0,0,0,201506,21-6
0.86500001,18,7,5,0,14,201506,18-6
0.76833332,6,7,0,0,20,201506,6-6
0.48166665,10,4,2,0,27,201506,10-6
1.6666666,11,72,22,50,229,201506,11-6
1.1916667,22,49,22,11,85,201506,22-6
0.99833333,23,68,21,6,155,201506,23-6
0.78833336,24,6,4,0,23,201506,24-6
0.97166669,19,11,1,0,10,201506,19-6
0.52580643,9,231,54,2,181,201507,9-7
0.7112903,20,49,18,3,63,201507,20-7
0.94516128,5,17,7,2,68,201507,5-7
0.37419355,17,51,32,17,269,201507,17-7
0.3580645,16,334,115,34,562,201507,16-7
0.10806452,13,53,15,6,55,201507,13-7
0.30161291,14,110,44,18,307,201507,14-7
0.26451614,7,20,12,4,65,201507,7-7
0.067741938,3,277,288,57,687,201507,3-7
0.27419356,4,42,55,18,131,201507,4-7
0.30322582,2,46,31,5,115,201507,2-7
0.46451613,1,0,0,0,9,201507,1-7
0.20806451,21,0,0,0,0,201507,21-7
0.32419354,18,7,6,1,12,201507,18-7
0.27096775,6,11,2,0,27,201507,6-7
0.39354837,10,4,2,0,16,201507,10-7
0.046774194,15,1,0,0,0,201507,15-7
0.51129031,11,91,14,36,188,201507,11-7
0.38548386,22,36,36,13,69,201507,22-7
0.70645159,23,74,34,11,162,201507,23-7
0.53548384,24,9,3,1,17,201507,24-7
0.60645163,19,14,2,0,9,201507,19-7
0.11290323,8,0,0,0,0,201507,8-7
0.16451614,9,216,52,3,227,201508,9-8
0.13709678,20,42,18,0,47,201508,20-8
0.56612903,5,21,17,1,54,201508,5-8
0.1951613,17,55,71,23,287,201508,17-8
0.25645161,16,331,98,29,600,201508,16-8
0.18548387,13,59,16,5,49,201508,13-8
0.26290321,14,108,44,27,246,201508,14-8
0.24193548,7,23,10,2,47,201508,7-8
0.059677418,3,301,319,55,815,201508,3-8
0.33064517,4,57,37,14,126,201508,4-8
0.1967742,2,38,29,12,80,201508,2-8
0.13870968,1,13,1,2,17,201508,1-8
0.21935484,21,0,0,0,0,201508,21-8
0.34032258,18,10,3,3,16,201508,18-8
0.32258064,6,10,2,0,17,201508,6-8
0.28548387,10,7,2,0,17,201508,10-8
0.27096775,11,88,16,51,177,201508,11-8
0.19516128,22,20,26,10,67,201508,22-8
0.23064516,23,63,30,10,162,201508,23-8
0.0983871,24,4,4,0,19,201508,24-8
0.34032258,19,9,3,2,12,201508,19-8
0.58499998,9,201,61,10,178,201509,9-9
0.52666664,20,42,10,5,65,201509,20-9
0.81666666,5,13,11,1,71,201509,5-9
0.65500003,17,79,89,17,350,201509,17-9
0.52833331,16,308,80,24,640,201509,16-9
0.22666667,13,61,19,6,66,201509,13-9
0.435,14,110,40,18,230,201509,14-9
0.31833333,7,14,4,0,50,201509,7-9
0.015000001,3,349,295,76,764,201509,3-9
0.42666668,4,46,42,17,129,201509,4-9
0.24666667,2,44,18,6,75,201509,2-9
0.43666667,1,0,0,0,0,201509,1-9
0.053333335,21,0,0,0,0,201509,21-9
0.46833333,18,6,7,0,10,201509,18-9
0.25999999,6,4,6,0,22,201509,6-9
0.073333338,10,8,3,0,28,201509,10-9
0.40833333,11,73,15,35,172,201509,11-9
0.51166666,22,22,35,6,52,201509,22-9
0.12166666,23,46,32,4,146,201509,23-9
0.38166666,24,9,4,0,17,201509,24-9
0.34999999,19,4,4,1,11,201509,19-9
0.86451614,9,242,65,10,180,201510,9-10
0.37258065,20,50,22,4,61,201510,20-10
0.91129035,5,10,16,2,71,201510,5-10
0.51290321,17,67,77,20,305,201510,17-10
0.533871,16,327,97,40,563,201510,16-10
0.30000001,13,77,12,5,47,201510,13-10
0.56612903,14,99,60,24,220,201510,14-10
0.33387098,7,15,2,1,57,201510,7-10
0.074193552,3,359,205,55,825,201510,3-10
0.45161292,4,56,20,5,119,201510,4-10
0.15967742,2,40,15,12,71,201510,2-10
0.34516129,1,0,0,0,0,201510,1-10
0.27419356,21,0,0,0,0,201510,21-10
0.7532258,18,7,6,1,13,201510,18-10
0.66451615,6,8,0,0,32,201510,6-10
0.21774194,10,3,3,0,15,201510,10-10
0.51935482,11,83,15,31,158,201510,11-10
0.55322582,22,18,31,8,56,201510,22-10
0.25806451,23,44,38,10,151,201510,23-10
0.22580646,24,16,2,0,19,201510,24-10
0.64032257,19,21,2,1,13,201510,19-10
0.27419356,8,0,0,0,0,201510,8-10
0.57166666,9,224,58,11,175,201511,9-11
0.24000001,20,41,16,2,56,201511,20-11
0.64166665,5,19,9,1,49,201511,5-11
0.55833334,17,56,61,27,299,201511,17-11
0.405,16,317,89,58,546,201511,16-11
0.45000002,13,57,7,1,41,201511,13-11
0.53333336,14,115,35,17,234,201511,14-11
0.27333334,7,12,8,0,47,201511,7-11
0.039999999,3,188,99,35,366,201511,3-11
0.54000002,4,26,13,8,63,201511,4-11
0.090000004,2,51,20,8,64,201511,2-11
0.28666666,1,0,0,0,0,201511,1-11
0.2,21,0,0,0,0,201511,21-11
0.54333335,18,4,1,0,12,201511,18-11
0.45833334,6,10,1,0,15,201511,6-11
0.27333334,10,3,1,0,4,201511,10-11
0.37666667,11,81,19,27,161,201511,11-11
0.27166668,22,17,21,8,53,201511,22-11
0.68833333,23,50,37,5,134,201511,23-11
0.45500001,24,5,5,0,19,201511,24-11
0.85833335,19,6,3,0,13,201511,19-11
0.75645161,9,226,73,14,199,201512,9-12
0.28870967,20,16,6,0,21,201512,20-12
0.96612906,5,20,7,1,49,201512,5-12
0.54516131,17,47,61,17,277,201512,17-12
0.7854839,16,295,92,28,590,201512,16-12
0.80806452,13,56,9,5,58,201512,13-12
0.77903223,14,88,29,12,215,201512,14-12
0.62580645,7,7,6,2,49,201512,7-12
0.077419356,3,256,192,54,628,201512,3-12
0.81290323,4,32,27,13,90,201512,4-12
0.093548387,2,29,36,12,53,201512,2-12
0.63064516,1,0,0,0,0,201512,1-12
0.92741936,18,8,2,0,12,201512,18-12
0.966129,6,7,2,0,23,201512,6-12
0.51451612,10,3,1,0,7,201512,10-12
0.74193549,11,75,12,34,152,201512,11-12
0.67903227,22,13,44,14,54,201512,22-12
0.71774191,23,47,25,10,161,201512,23-12
0.31774193,24,7,2,1,23,201512,24-12
0.75,19,10,5,0,12,201512,19-12
0.75,8,0,0,0,0,201512,8-12
