country;state;city;addres
AR;Corrientes;Bella Vista;Municipio de Bella Vista
AR;Corrientes;Beron de Astrada;Municipio de Beron de Astrada
AR;Corrientes;Capital;Corrientes
AR;Corrientes;Concepcion;Municipio de Concepcion
AR;Corrientes;Curuzu Cuatia;Municipio de Curuzu Cuatia
AR;Corrientes;Empedrado;Municipio de Empedrado
AR;Corrientes;Esquina;Municipio de Esquina
AR;Corrientes;General Alvear;Municipio de Alvear
AR;Corrientes;Departamento General Paz;Municipio de Caa Cati
AR;Corrientes;Goya;Municipio de Goya
AR;Corrientes;Itati;Municipio de Itati
AR;Corrientes;Ituzaingo;Municipio de Ituzaingo
AR;Corrientes;Lavalle;Municipio de Santa Lucia
AR;Corrientes;Mburucuya;Municipio de Mburucuya
AR;Corrientes;Mercedes;Municipio de Mercedes
AR;Corrientes;Monte Caseros;Municipio de Monte Caseros
AR;Corrientes;Departamento Paso de los Libres;Municipio de Paso de los Libres
AR;Corrientes;Departamento Saladas;Municipio de Saladas
AR;Corrientes;San Cosme;Municipio de San Cosme
AR;Corrientes;Departamento San Luis del Palmar;Municipio de San Luis del Palmar
AR;Corrientes;San Martin;Municipio de La Cruz
AR;Corrientes;San Miguel;Municipio de San Miguel
AR;Corrientes;San Roque;Municipio de San Roque
AR;Corrientes;Santo Tome;Municipio de Santo Tome
AR;Corrientes;Sauce;Municipio de Sauce
